source_id,target_reg,pred,media_type
0,4.5,5.0,movie
1,5.0,4.5,movie
2,3.5,3.1,movie
3,5.0,4.7,movie
4,5.0,4.0,movie
5,4.0,4.0,movie
6,5.0,5.0,movie
7,5.0,5.0,movie
8,5.0,4.1,movie
9,3.0,3.5,movie
10,4.0,3.9,movie
11,4.0,4.3,movie
12,4.5,4.5,movie
13,4.5,4.5,movie
14,5.0,4.4,movie
15,4.0,4.0,movie
16,5.0,4.5,movie
17,4.0,3.9,movie
18,3.0,3.5,movie
19,5.0,4.8,movie
20,4.0,3.1,movie
21,4.0,4.6,movie
22,1.0,1.1597752530331717,movie
23,4.0,4.0,movie
24,4.0,4.2,movie
25,4.0,3.0,movie
26,5.0,4.0,movie
27,4.5,4.5,movie
28,4.0,3.9,movie
29,4.5,3.3,movie
30,4.0,4.4,movie
31,2.0,2.0,movie
32,5.0,4.3,movie
33,5.0,4.0,movie
34,5.0,4.241526914506858,movie
35,3.0,4.4,movie
36,3.0,4.0,movie
37,4.0,4.7,movie
38,4.0,4.4,movie
39,4.0,4.6,movie
40,4.0,3.7,movie
41,2.0,1.843851204063138,movie
42,4.0,4.8,movie
43,4.0,4.4,movie
44,3.0,4.8,movie
45,4.0,3.9,movie
46,4.0,4.1,movie
47,3.0,3.5,movie
48,4.5,4.9,movie
49,3.0,4.5,movie
50,5.0,4.7,movie
51,4.0,3.6,movie
52,4.0,4.0,movie
53,4.0,3.7,movie
54,3.0,3.5,movie
55,4.0,3.2,movie
56,4.0,4.0,movie
57,4.0,4.5,movie
58,4.0,4.7,movie
59,4.5,4.4,movie
60,4.0,4.4,movie
61,4.0,4.5,movie
62,3.0,3.0,movie
63,4.0,4.4,movie
64,4.0,4.5,movie
65,5.0,4.1,movie
66,5.0,4.0,movie
67,5.0,5.0,movie
68,5.0,4.0,movie
69,3.0,3.1,movie
70,4.0,3.730192617895443,movie
71,3.5,3.7,movie
72,4.0,2.9,movie
73,3.5,3.0,movie
74,3.5,3.2,movie
75,5.0,5.0,movie
76,4.0,4.9,movie
77,4.0,3.4,movie
78,4.0,4.0,movie
79,3.5,4.0,movie
80,4.0,4.2,movie
81,4.0,4.1,movie
82,4.0,3.1,movie
83,3.0,4.3,movie
84,5.0,4.0,movie
85,4.0,4.5,movie
86,4.5,4.0,movie
87,4.0,4.4,movie
88,4.0,3.0,movie
89,4.0,3.3,movie
90,4.0,3.6,movie
91,5.0,3.6,movie
92,3.5,4.0,movie
93,4.0,3.3174783974862465,movie
94,4.0,3.0,movie
95,3.0,3.0,movie
96,3.5,3.0,movie
97,3.0,3.0,movie
98,4.0,3.0,movie
99,5.0,4.3,movie
100,5.0,4.3,movie
101,5.0,4.1,movie
102,2.0,3.0,movie
103,4.0,4.5,movie
104,4.0,4.1,movie
105,4.5,4.0,movie
106,4.0,3.3,movie
107,4.0,3.0,movie
108,4.0,3.5,movie
109,4.5,3.3,movie
110,3.5,3.5,movie
111,4.0,3.6,movie
112,4.0,3.7,movie
113,3.0,3.1,movie
114,2.0,2.3,movie
115,4.0,3.0,movie
116,2.0,3.0,movie
117,3.0,3.0,movie
118,2.5,3.1,movie
119,2.0,2.5,movie
120,4.0,3.0,movie
121,3.0,3.0,movie
122,4.0,2.2740716336423956,movie
123,4.0,4.9,movie
124,3.0,4.0,movie
125,4.0,3.7,movie
126,4.0,4.7,movie
127,5.0,4.3,movie
128,4.0,4.4,movie
129,4.0,4.3,movie
130,4.0,4.0,movie
131,3.0,4.0,movie
132,3.0,3.0,movie
133,3.0,3.0,movie
134,3.0,3.0,movie
135,3.0,3.3,movie
136,3.0,4.4,movie
137,4.5,4.2,movie
138,3.0,3.0,movie
139,3.0,3.0,movie
140,4.0,4.0,movie
141,4.0,3.6,movie
142,3.0,3.2,movie
143,3.5,3.5,movie
144,4.0,3.6,movie
145,4.0,3.2,movie
146,4.0,4.1,movie
147,4.0,3.7,movie
148,4.0,4.1,movie
149,4.0,3.2,movie
150,3.0,3.0,movie
151,3.0,3.1,movie
152,3.0,3.0,movie
153,3.0,3.0,movie
154,4.0,3.2970802690301126,movie
155,3.0,3.0,movie
156,2.0,2.7,movie
157,3.0,3.0,movie
158,3.0,3.0,movie
159,2.0,3.0,movie
160,2.5,2.8,movie
161,3.0,2.7,movie
162,3.0,3.0,movie
163,3.0,3.0,movie
164,3.0,3.0,movie
165,3.0,2.0,movie
166,3.0,2.9,movie
167,3.0,3.0,movie
168,3.0,3.0,movie
169,3.0,2.8,movie
170,3.0,2.5,movie
171,3.0,3.8,movie
172,3.0,3.3,movie
173,3.0,2.6,movie
174,3.0,2.3,movie
175,3.0,2.226938420404872,movie
176,3.0,2.0,movie
177,3.0,2.4,movie
178,3.0,2.6,movie
179,2.5,2.0,movie
180,5.0,4.0,movie
181,3.0,2.6,movie
182,4.0,4.2,movie
183,4.0,3.8,movie
184,4.5,4.7,movie
185,4.0,4.0,movie
186,4.0,4.0,movie
187,4.0,3.1678361138370916,movie
188,5.0,4.9,movie
189,4.0,4.0,movie
190,4.0,3.9,movie
191,3.5,3.8,movie
192,4.0,4.105036968576712,movie
193,3.0,3.6,movie
194,3.0,3.1,movie
195,3.0,3.1,movie
196,4.0,3.9,movie
197,5.0,4.1,movie
198,3.0,3.0,movie
199,3.0,3.2,movie
200,3.0,3.0,movie
201,3.0,3.2,movie
202,3.5,3.0,movie
203,4.0,3.8,movie
204,3.0,3.0,movie
205,3.0,2.9,movie
206,4.0,3.6,movie
207,2.5,3.2,movie
208,3.5,3.9,movie
209,3.5,3.2,movie
210,3.0,3.8,movie
211,4.0,4.0,movie
212,3.0,2.0,movie
213,4.0,3.9,movie
214,4.0,3.6,movie
215,3.0,3.0,movie
216,4.0,3.1,movie
217,3.0,4.0,movie
218,2.0,2.6,movie
219,4.0,3.0,movie
220,3.0,3.0,movie
221,3.0,3.0,movie
222,3.5,4.7,movie
223,2.0,3.3212760336400833,movie
224,4.0,3.7,movie
225,4.0,4.0,movie
226,4.0,4.0,movie
227,3.0,3.5,movie
228,4.5,3.3,movie
229,4.0,3.1,movie
230,4.0,3.493593470483006,movie
231,3.0,3.0,movie
232,4.0,4.4,movie
233,4.0,4.2,movie
234,4.0,3.353349565217388,movie
235,5.0,4.0,movie
236,2.0,2.3,movie
237,3.0,2.6,movie
238,3.0,2.4,movie
239,3.0,3.0,movie
240,3.0,2.4,movie
241,3.0,3.0,movie
242,4.0,3.4,movie
243,4.0,4.0,movie
244,4.0,3.5,movie
245,3.0,3.0,movie
246,4.0,3.1,movie
247,3.5,3.356248132177774,movie
248,3.0,3.7,movie
249,3.0,3.1,movie
250,3.0,3.5,movie
251,3.0,3.7,movie
252,3.5,4.0,movie
253,3.5,3.9,movie
254,2.5,2.1,movie
255,4.0,4.348034216153974,movie
256,3.0,3.0,movie
257,3.0,3.0,movie
258,4.0,3.6,movie
259,2.5,3.0,movie
260,2.5,3.0,movie
261,3.0,3.0,movie
262,3.0,3.0,movie
263,3.0,2.7,movie
264,1.0,2.1,movie
265,2.0,2.1,movie
266,2.0,2.5,movie
267,3.0,3.0,movie
268,4.0,3.0,movie
269,3.0,3.0,movie
270,4.0,4.0,movie
271,3.0,2.8,movie
272,2.0,2.6,movie
273,2.0,1.1646378141310934,movie
274,1.0,1.4790060052072291,movie
275,2.0,1.530261741751616,movie
276,2.0,2.3,movie
277,2.0,3.0,movie
278,2.0,3.0,movie
279,2.0,2.0,movie
280,2.0,2.6,movie
281,2.0,2.5,movie
282,4.0,4.1,movie
283,4.0,4.0,movie
284,2.0,2.0,movie
285,2.0,3.5,movie
286,4.0,3.0,movie
287,3.0,3.0,movie
288,3.0,3.1,movie
289,3.0,3.5,movie
290,1.0,2.3167446536989074,movie
291,4.0,4.0,movie
292,4.0,3.4,movie
293,3.0,4.5,movie
294,3.0,2.8,movie
295,2.0,2.0,movie
296,4.0,3.0,movie
297,4.0,3.0,movie
298,3.0,2.8,movie
299,3.0,2.5,movie
300,2.0,2.1,movie
301,2.0,2.7,movie
302,2.5,1.767159899034479,movie
303,3.0,2.9,movie
304,3.0,4.0,movie
305,3.0,3.9,movie
306,3.0,3.5,movie
307,3.0,2.7,movie
308,3.0,3.0,movie
309,4.0,3.6,movie
