source_id,target_reg,pred,media_type
0,4.5,4.485455331179876,movie
1,5.0,4.122379942563935,movie
2,3.5,3.3789569057868576,movie
3,5.0,4.377030957929614,movie
4,5.0,4.03709134798702,movie
5,4.0,4.189984116124905,movie
6,5.0,4.57473666105731,movie
7,5.0,4.391940711468332,movie
8,5.0,3.9968397386374774,movie
9,3.0,3.8272495640305024,movie
10,4.0,3.639691352002921,movie
11,4.0,4.0988636164108225,movie
12,4.5,4.282380639969054,movie
13,4.5,4.347693721675495,movie
14,5.0,4.318841557067957,movie
15,4.0,3.772149381668305,movie
16,5.0,4.137489227291929,movie
17,4.0,3.8076389590886053,movie
18,3.0,3.5078403853639495,movie
19,5.0,4.503287173812396,movie
20,4.0,3.4030157082009183,movie
21,4.0,4.206801744382378,movie
22,1.0,1.8338951566757355,movie
23,4.0,3.7630857143497365,movie
24,4.0,4.0009180019975386,movie
25,4.0,3.2492225820103093,movie
26,5.0,3.6050947636112682,movie
27,4.5,4.188188768697709,movie
28,4.0,3.6745761219595634,movie
29,4.5,3.7030952875067564,movie
30,4.0,3.948734754157539,movie
31,2.0,2.1659339747719866,movie
32,5.0,4.14962996124915,movie
33,5.0,3.70949670799462,movie
34,5.0,4.265458272229738,movie
35,3.0,4.043281341503126,movie
36,3.0,3.975501080454985,movie
37,4.0,4.35233121497736,movie
38,4.0,4.167368151982553,movie
39,4.0,4.530266287019654,movie
40,4.0,3.5910280811644384,movie
41,2.0,1.6949902181012284,movie
42,4.0,4.354680230044375,movie
43,4.0,4.162565681929955,movie
44,3.0,4.286647543783453,movie
45,4.0,3.95532875081676,movie
46,4.0,3.836269344182695,movie
47,3.0,3.7776169497235594,movie
48,4.5,4.335800658999088,movie
49,3.0,4.266334306001449,movie
50,5.0,4.3240969991995275,movie
51,4.0,3.4962469370339475,movie
52,4.0,3.6789438347434045,movie
53,4.0,3.8730552157037677,movie
54,3.0,3.5320469070838882,movie
55,4.0,3.284483724572014,movie
56,4.0,3.5813097321032097,movie
57,4.0,4.086767966552056,movie
58,4.0,4.3078075591945275,movie
59,4.5,4.007968266906196,movie
60,4.0,4.13866979347225,movie
61,4.0,4.110050011095316,movie
62,3.0,2.9356400928931294,movie
63,4.0,4.056641291128573,movie
64,4.0,4.102223413443154,movie
65,5.0,3.8656426671663953,movie
66,5.0,3.964072203134107,movie
67,5.0,4.500774552061155,movie
68,5.0,3.7050431218074507,movie
69,3.0,3.2556089801686445,movie
70,4.0,3.851454156336472,movie
71,3.5,3.454204752041336,movie
72,4.0,2.4562054118049104,movie
73,3.5,3.0440481222519553,movie
74,3.5,3.342548199927543,movie
75,5.0,4.647870659055092,movie
76,4.0,4.301306633583986,movie
77,4.0,3.672005065880269,movie
78,4.0,3.990216645839767,movie
79,3.5,3.7992172153465624,movie
80,4.0,4.270918330175048,movie
81,4.0,4.0718300521858275,movie
82,4.0,3.4473075035833,movie
83,3.0,4.09006891834286,movie
84,5.0,3.9597751154048324,movie
85,4.0,4.342098757494868,movie
86,4.5,3.7742317376003633,movie
87,4.0,3.901877316355845,movie
88,4.0,3.229513460809808,movie
89,4.0,3.6263023216371524,movie
90,4.0,3.609810356702975,movie
91,5.0,3.824890808451579,movie
92,3.5,3.8482942416964945,movie
93,4.0,3.5178368337159123,movie
94,4.0,3.0865432449948527,movie
95,3.0,3.355854478400692,movie
96,4.0,3.071580266192049,movie
97,3.0,3.310923750390283,movie
98,4.0,2.9970990080527384,movie
99,5.0,3.9214849523668,movie
100,5.0,4.035850922656034,movie
