domain,fraction,fold,repeat,n_train,n_test,MAE,skill
movie,0.75,3,0,663,96,0.5364583333333334,0.31482150382276797
movie,0.75,3,1,663,96,0.53125,0.3214737222322557
movie,0.75,3,2,663,96,0.515625,0.3414303774607188
movie,1.0,3,0,884,96,0.5260416666666666,0.3281259406417435
movie,0.25,4,0,220,100,0.54,0.17040554459593926
movie,0.25,4,1,220,100,0.48,0.2625827063075017
movie,0.25,4,2,220,100,0.48,0.2625827063075017
movie,0.5,4,0,440,100,0.47,0.27794556659276204
movie,0.5,4,1,440,100,0.455,0.3009898570206525
movie,0.5,4,2,440,100,0.435,0.3317155775911733
movie,0.75,4,0,660,100,0.425,0.3470784378764338
movie,0.75,4,1,660,100,0.425,0.3470784378764338
movie,0.75,4,2,660,100,0.425,0.3470784378764338
movie,1.0,4,0,880,100,0.425,0.3470784378764338
movie,0.25,5,0,220,102,0.5490196078431373,0.3439192975901364
movie,0.25,5,1,220,102,0.6078431372549019,0.2736249366176512
movie,0.25,5,2,220,102,0.5588235294117647,0.33220357076138896
movie,0.5,5,0,439,102,0.5392156862745098,0.35563502441888406
movie,0.5,5,1,439,102,0.5588235294117647,0.33220357076138896
movie,0.5,5,2,439,102,0.5784313725490197,0.30877211710389374
movie,0.75,5,0,658,102,0.5490196078431373,0.3439192975901364
movie,0.75,5,1,658,102,0.5833333333333334,0.30291425368951996
movie,0.75,5,2,658,102,0.5490196078431373,0.3439192975901364
movie,1.0,5,0,878,102,0.5588235294117647,0.33220357076138896
movie,0.25,6,0,220,102,0.6911764705882353,0.26287898635291884
movie,0.25,6,1,220,102,0.7058823529411765,0.2471955605306404
movie,0.25,6,2,220,102,0.7205882352941176,0.23151213470836218
movie,0.5,6,0,439,102,0.7058823529411765,0.2471955605306404
movie,0.5,6,1,439,102,0.7352941176470589,0.21582870888608374
movie,0.5,6,2,439,102,0.696078431372549,0.25765117774549273
movie,0.75,6,0,658,102,0.6862745098039216,0.26810679496034495
movie,0.75,6,1,658,102,0.696078431372549,0.25765117774549273
movie,0.75,6,2,658,102,0.696078431372549,0.25765117774549273
movie,1.0,6,0,878,102,0.7058823529411765,0.2471955605306404
movie,0.25,7,0,220,99,0.5151515151515151,0.26279779484150423
movie,0.25,7,1,220,99,0.5505050505050505,0.21220548664435257
movie,0.25,7,2,220,99,0.4595959595959596,0.3422999934370282
movie,0.5,7,0,440,99,0.5,0.28448021264028345
movie,0.5,7,1,440,99,0.494949494949495,0.29170768523987656
movie,0.5,7,2,440,99,0.5050505050505051,0.27725274004069034
movie,0.75,7,0,661,99,0.5,0.28448021264028345
movie,0.75,7,1,661,99,0.4898989898989899,0.29893515783946967
movie,0.75,7,2,661,99,0.5303030303030303,0.2411153770427249
movie,1.0,7,0,881,99,0.5,0.28448021264028345
movie,0.25,8,0,223,88,0.6022727272727273,0.20389330459383004
movie,0.25,8,1,223,88,0.5795454545454546,0.23393506668462882
movie,0.25,8,2,223,88,0.5795454545454546,0.23393506668462882
movie,0.5,8,0,446,88,0.6136363636363636,0.1888724235484306
movie,0.5,8,1,446,88,0.5681818181818182,0.24895594773002827
movie,0.5,8,2,446,88,0.5852272727272727,0.22642462616192915
movie,0.75,8,0,669,88,0.5852272727272727,0.22642462616192915
movie,0.75,8,1,669,88,0.5511363636363636,0.2714872692981275
movie,0.75,8,2,669,88,0.5568181818181818,0.26397682877542783
movie,1.0,8,0,892,88,0.5340909090909091,0.2940185908662266
movie,0.25,9,0,221,95,0.4789473684210526,0.33757485029940115
movie,0.25,9,1,221,95,0.5157894736842106,0.28661906955320116
movie,0.25,9,2,221,95,0.5157894736842106,0.28661906955320116
movie,0.5,9,0,442,95,0.49473684210526314,0.31573665855102984
movie,0.5,9,1,442,95,0.4842105263157895,0.330295453049944
movie,0.5,9,2,442,95,0.45263157894736844,0.37397183654668675
movie,0.75,9,0,664,95,0.45263157894736844,0.37397183654668675
movie,0.75,9,1,664,95,0.45789473684210524,0.3666924392972297
movie,0.75,9,2,664,95,0.4842105263157895,0.330295453049944
movie,1.0,9,0,885,95,0.45263157894736844,0.37397183654668675
movie,0.25,10,0,221,97,0.5618556701030928,0.2945319944293777
movie,0.25,10,1,221,97,0.5773195876288659,0.2751154438173423
movie,0.25,10,2,221,97,0.6185567010309279,0.22333797551858092
movie,0.5,10,0,442,97,0.5773195876288659,0.2751154438173423
movie,0.5,10,1,442,97,0.5515463917525774,0.307476361504068
movie,0.5,10,2,442,97,0.5515463917525774,0.307476361504068
movie,0.75,10,0,662,97,0.5463917525773195,0.31394854504141323
movie,0.75,10,1,662,97,0.5515463917525774,0.307476361504068
movie,0.75,10,2,662,97,0.5463917525773195,0.31394854504141323
movie,1.0,10,0,883,97,0.5618556701030928,0.2945319944293777
movie,0.25,11,0,220,99,0.5757575757575758,0.26884773303048826
movie,0.25,11,1,220,99,0.5707070707070707,0.27526134940741387
movie,0.25,11,2,220,99,0.5555555555555556,0.2945021985381904
movie,0.5,11,0,440,99,0.5606060606060606,0.288088582161265
movie,0.5,11,1,440,99,0.5050505050505051,0.35863836230744583
movie,0.5,11,2,440,99,0.5303030303030303,0.3265702804228182
movie,0.75,11,0,661,99,0.51010101010101,0.35222474593052033
movie,0.75,11,1,661,99,0.5202020202020202,0.3393975131766692
movie,0.75,11,2,661,99,0.5252525252525253,0.3329838967997436
movie,1.0,11,0,881,99,0.5,0.36505197868437145
movie,0.25,12,0,221,97,0.5154639175257731,0.3172398861808734
movie,0.25,12,1,221,97,0.5618556701030928,0.2557914759371519
movie,0.25,12,2,221,97,0.4845360824742268,0.3582054930100209
movie,0.5,12,0,442,97,0.5309278350515464,0.29675708276629953
movie,0.5,12,1,442,97,0.5618556701030928,0.2557914759371519
movie,0.5,12,2,442,97,0.5360824742268041,0.2899294816281083
movie,0.75,12,0,662,97,0.5463917525773195,0.27627427935172577
movie,0.75,12,1,662,97,0.5154639175257731,0.3172398861808734
movie,0.75,12,2,662,97,0.4948453608247423,0.3445502907336384
movie,1.0,12,0,883,97,0.5309278350515464,0.29675708276629953
movie,0.25,13,0,222,93,0.46236559139784944,0.26732235818429795
movie,0.25,13,1,222,93,0.5053763440860215,0.1991662984805117
movie,0.25,13,2,222,93,0.489247311827957,0.22472482086943146
movie,0.5,13,0,444,93,0.489247311827957,0.22472482086943146
movie,0.5,13,1,444,93,0.46774193548387094,0.2588028507213247
movie,0.5,13,2,444,93,0.5161290322580645,0.1821272835545651
movie,0.75,13,0,665,93,0.41935483870967744,0.3354784178880841
movie,0.75,13,1,665,93,0.46774193548387094,0.2588028507213247
movie,0.75,13,2,665,93,0.489247311827957,0.22472482086943146
movie,1.0,13,0,887,93,0.44623655913978494,0.2928808805732178
movie,0.25,14,0,220,102,0.5784313725490197,0.313571674661437
movie,0.25,14,1,220,102,0.4950980392156863,0.41246389102377234
movie,0.25,14,2,220,102,0.5147058823529411,0.38919513423263474
movie,0.5,14,0,439,102,0.553921568627451,0.3426576206503592
movie,0.5,14,1,439,102,0.5098039215686274,0.39501232343041914
movie,0.5,14,2,439,102,0.5049019607843137,0.40082951262820354
movie,0.75,14,0,658,102,0.5147058823529411,0.38919513423263474
movie,0.75,14,1,658,102,0.4852941176470588,0.42409826941934126
movie,0.75,14,2,658,102,0.5196078431372549,0.3833779450348501
movie,1.0,14,0,878,102,0.47549019607843135,0.43573264781491017
