target,source,music,protocol,fraction,fold,repeat,N,MAE,skill,spearman
movie,tv+game,False,B,0.0,2,0,100,0.875,-0.08018629706526004,0.11155211834899272
movie,tv+game,False,C,0.0,2,0,100,0.875,-0.08018629706526004,0.11155211834899272
movie,tv+game,False,C,0.25,2,0,100,0.545,0.3271982492564951,0.6459197661221303
movie,tv+game,False,C,0.5,2,0,100,0.485,0.4012681667695416,0.7463291940557313
movie,tv+game,False,C,1.0,2,0,100,0.445,0.45064811177823916,0.7774507532811408
movie,tv+book,False,B,0.0,2,0,100,0.775,0.04326356545648391,0.20275252748019396
movie,tv+book,False,C,0.0,2,0,100,0.775,0.04326356545648391,0.20275252748019396
movie,tv+book,False,C,0.25,2,0,100,0.525,0.3518882217608439,0.6942039671095672
movie,tv+book,False,C,0.5,2,0,100,0.5,0.38275068739127993,0.7294418388466971
movie,tv+book,False,C,1.0,2,0,100,0.46,0.4321306323999775,0.7839029006657029
movie,game+book,False,B,0.0,2,0,100,0.85,-0.049323831434824106,-0.023911956494319073
movie,game+book,False,C,0.0,2,0,100,0.85,-0.049323831434824106,-0.023911956494319073
movie,game+book,False,C,0.25,2,0,100,0.635,0.21609337298692555,0.5701433621902874
movie,game+book,False,C,0.5,2,0,100,0.515,0.3642332080130183,0.6996959784774716
movie,game+book,False,C,1.0,2,0,100,0.49,0.3950956736434543,0.7412146597704644
movie,tv+game+book,False,B,0.0,2,0,100,0.755,0.0679535379608327,0.208763793062335
movie,tv+game+book,False,C,0.0,2,0,100,0.755,0.0679535379608327,0.208763793062335
movie,tv+game+book,False,C,0.25,2,0,100,0.57,0.29633578362605917,0.6712009908060608
movie,tv+game+book,False,C,0.5,2,0,100,0.515,0.3642332080130183,0.7190731187474673
movie,tv+game+book,False,C,1.0,2,0,100,0.475,0.413613153021716,0.7472081195978643
movie,(target-only),False,A,1.0,3,0,96,0.515625,0.3414303774607188,0.6972751589737015
movie,tv,False,B,0.0,3,0,96,0.671875,0.1418638251760881,0.5006600586560888
movie,tv,False,C,0.0,3,0,96,0.671875,0.1418638251760881,0.5006600586560888
movie,tv,False,C,0.25,3,0,96,0.5364583333333334,0.31482150382276797,0.6753496531011222
movie,tv,False,C,0.5,3,0,96,0.5104166666666666,0.3480825958702065,0.739328535299656
movie,tv,False,C,1.0,3,0,96,0.5208333333333334,0.3347781590512311,0.6955282354698975
movie,game,False,B,0.0,3,0,96,1.0104166666666667,-0.2905303714406118,-0.12784870184021782
movie,game,False,C,0.0,3,0,96,1.0104166666666667,-0.2905303714406118,-0.12784870184021782
movie,game,False,C,0.25,3,0,96,0.6302083333333334,0.19508157245198954,0.5242560942590881
movie,game,False,C,0.5,3,0,96,0.5520833333333334,0.29486484859430495,0.6958478130927384
movie,game,False,C,1.0,3,0,96,0.53125,0.3214737222322557,0.6820119256719953
movie,book,False,B,0.0,3,0,96,0.9166666666666666,-0.17079044006983324,0.04868548666598184
movie,book,False,C,0.0,3,0,96,0.9166666666666666,-0.17079044006983324,0.04868548666598184
movie,book,False,C,0.25,3,0,96,0.5572916666666666,0.28821263018481735,0.6087566360525397
movie,book,False,C,0.5,3,0,96,0.515625,0.3414303774607188,0.7012121775614177
movie,book,False,C,1.0,3,0,96,0.484375,0.38134368791764495,0.7455724140760841
movie,tv+game,False,B,0.0,3,0,96,0.8645833333333334,-0.10426825597495637,0.12876525085303872
movie,tv+game,False,C,0.0,3,0,96,0.8645833333333334,-0.10426825597495637,0.12876525085303872
movie,tv+game,False,C,0.25,3,0,96,0.6041666666666666,0.22834266449942808,0.6075522372205079
movie,tv+game,False,C,0.5,3,0,96,0.5416666666666666,0.30816928541328037,0.6878658287035929
movie,tv+game,False,C,1.0,3,0,96,0.4947916666666667,0.36803925109866953,0.7456514032300156
movie,tv+book,False,B,0.0,3,0,96,0.7135416666666666,0.08864607790018664,0.34808273372340104
movie,tv+book,False,C,0.0,3,0,96,0.7135416666666666,0.08864607790018664,0.34808273372340104
movie,tv+book,False,C,0.25,3,0,96,0.5885416666666666,0.2482993197278912,0.6252820563432787
