domain,fraction,fold,repeat,n_train,n_test,MAE,skill
movie,1.0,9,0,900,100,0.54,0.3388744541633225
movie,0.25,10,0,225,100,0.445,0.4417262576841049
movie,0.25,10,1,225,100,0.45,0.43545351900639817
movie,0.25,10,2,225,100,0.415,0.479362689750345
movie,0.5,10,0,450,100,0.45,0.43545351900639817
movie,0.5,10,1,450,100,0.4,0.4981809057834651
movie,0.5,10,2,450,100,0.41,0.48563542842805174
movie,0.75,10,0,675,100,0.45,0.43545351900639817
movie,0.75,10,1,675,100,0.46,0.42290804165098483
movie,0.75,10,2,675,100,0.45,0.43545351900639817
movie,1.0,10,0,900,100,0.435,0.45427173503951823
movie,0.25,11,0,225,100,0.49,0.38789106959442554
movie,0.25,11,1,225,100,0.51,0.36290703161868787
movie,0.25,11,2,225,100,0.57,0.28795491769147474
movie,0.5,11,0,450,100,0.495,0.38164506010049115
movie,0.5,11,1,450,100,0.53,0.3379229936429501
movie,0.5,11,2,450,100,0.5,0.37539905060655676
movie,0.75,11,0,675,100,0.49,0.38789106959442554
movie,0.75,11,1,675,100,0.495,0.38164506010049115
movie,0.75,11,2,675,100,0.495,0.38164506010049115
movie,1.0,11,0,900,100,0.505,0.36915304111262226
movie,0.25,12,0,225,100,0.465,0.33013205282112856
movie,0.25,12,1,225,100,0.43,0.3805522208883555
movie,0.25,12,2,225,100,0.46,0.3373349339735896
movie,0.5,12,0,450,100,0.475,0.3157262905162067
movie,0.5,12,1,450,100,0.455,0.34453781512605053
movie,0.5,12,2,450,100,0.445,0.3589435774309725
movie,0.75,12,0,675,100,0.45,0.35174069627851157
movie,0.75,12,1,675,100,0.435,0.37334933973589446
movie,0.75,12,2,675,100,0.465,0.33013205282112856
movie,1.0,12,0,900,100,0.495,0.28691476590636267
movie,0.25,13,0,225,100,0.59,0.218899398361307
movie,0.25,13,1,225,100,0.55,0.2718553713537607
movie,0.25,13,2,225,100,0.565,0.2519968814815907
movie,0.5,13,0,450,100,0.525,0.3049528544740443
movie,0.5,13,1,450,100,0.525,0.3049528544740443
movie,0.5,13,2,450,100,0.495,0.3446698342183847
movie,0.75,13,0,675,100,0.565,0.2519968814815907
movie,0.75,13,1,675,100,0.54,0.2850943646018741
movie,0.75,13,2,675,100,0.525,0.3049528544740443
movie,1.0,13,0,900,100,0.525,0.3049528544740443
movie,0.25,14,0,225,100,0.49,0.2885260712441924
movie,0.25,14,1,225,100,0.545,0.20866675271037716
movie,0.25,14,2,225,100,0.475,0.3103058853897783
movie,0.5,14,0,450,100,0.475,0.3103058853897783
movie,0.5,14,1,450,100,0.525,0.23770650490449174
movie,0.5,14,2,450,100,0.445,0.3538655136809502
movie,0.75,14,0,675,100,0.495,0.28126613319566374
movie,0.75,14,1,675,100,0.485,0.29578600929272103
